Incremental Benefits Grid — by Club Tier,,,,,,
,,,,,,
WEST ZONE,,,,,,
Value Proposition Category,Benefit,Bronze,Silver,Gold,Platinum,Diamond
Stature Builders,DC Events Invite,Yes,Yes,Yes,Yes,Yes
Stature Builders,Newspaper Coverage,-,-,-,-,Yes
Relationship Builders,Customized GSB,-,-,-,Yes,Yes
Relationship Builders,Wall/Shop Painting,-,-,Yes,Yes,Yes
Relationship Builders,Festive Gifts,Yes,Yes,Yes,Yes,Yes
,,,,,,
,,,,,,
EAST ZONE,,,,,,
Value Proposition Category,Benefit,Bronze,Silver,Gold,Diamond,Platinum
Stature Builders,DC Events Invite,Yes,Yes,Yes,Yes,Yes
Stature Builders,Newspaper Coverage,-,-,-,-,Yes
Relationship Builders,Customized GSB,-,-,-,Yes,Yes
Relationship Builders,Wall/Shop Painting,-,-,Yes,Yes,Yes
Relationship Builders,Festive Gifts,Yes,Yes,Yes,Yes,Yes
,,,,,,
"Note: East Zone's Newspaper Coverage benefit extends to Platinum tier as well (source doc column order: Bronze, Silver, Gold, Diamond, Platinum).",,,,,,
