Routing Agent — Guardrails (Controls on Every Route Plan Produced) — v5 (FINAL),,,,
"Every plan produced by Models 1-4 (see All_Parameters, Section 4) must stay inside these guardrails. Distance remains advisory-only throughout (OQ-13). GR-R11 (distance QA check) is confirmed as a monitoring signal, not a build-blocking gate, per the OQ-19 self-resolution.",,,,
GR#,Guardrail Rule,Applies To,Enforcement Point,Failure Behavior
A — Data Integrity Guardrails,,,,
GR-R1,Never route a DC with null/invalid geo-coordinates (Geo_Complete != TRUE per Data Norm Agent Section 5),R0.3,Pre-generation filter,DC excluded from all plans; logged in Dropped_DCs with reason Geo_Incomplete
GR-R2,"Never include a Legal_Hold DC in any plan — independent double-check, mirrors BO Config's GR-14","R0.7, R2.1",Pre- and post-generation,DC removed even if it slipped through the BO Scoring Engine's Ranked_Pool
"B — Capacity Guardrails (time and task-count only — distance is advisory-only, per OQ-13)",,,,
GR-R3,"Never exceed Field_Minutes_Available (420 min) — HARD cap, no bypass",R1.1,Post-generation validation on all models,Plan rejected/re-solved and marked Infeasible
GR-R4,"Never exceed 5 tasks/day (R1.7) — HARD cap, no bypass",R1.7,Post-generation validation on all models,Plan rejected/re-solved if it selects more than 5 stops
GR-R5,"If Min_Travel_Minutes (180 min cumulative floor) can't be satisfied given the candidate pool's geographic spread, fail safe rather than force artificial detours",R1.2,At computation time,Flag Travel_Floor_Not_Met; show the best available plan with the shortfall clearly noted
"C — Distance Estimation Guardrail (monitoring only, finalized OQ-19)",,,,
GR-R11,"Every finalized plan's Haversine-derived Total_Distance_KM is reconciled against that day's actual attendance_attendance.google_distance once logged — CONFIRMED as a monitoring/QA signal only, never a build gate and never blocks any plan","R0.5, R6.1",Post-day reconciliation (after shift ends),"If the gap exceeds a defined threshold [FILL IN, e.g. 20%], flag Distance_Estimate_Mismatch for periodic ops review — purely diagnostic, does not affect that day's already-executed plan or block future ones"
D — Multi-Plan Guardrails,,,,
GR-R6,Never generate fewer than 3 feasible algorithm-generated plans (Models 1-3) without flagging why,R5.1,Post-generation check,Flag Insufficient_Candidates_For_3_Plans; show however many are genuinely distinct; explain why
GR-R7,Never alter Priority_Score or Matched_Purposes computed upstream by the BO Scoring Engine,R2.2,Architectural / code review,"Treated as a bug, mirrors the Data Norm/BO Config determinism philosophy"
GR-R8,"Only the SE may finalize plan selection, and only AFTER that SE's punch-in for the day",R5.3,At selection time,Non-SE selection attempts are rejected; pre-punch-in selection attempts are held/rejected until punch-in is recorded
E — Determinism & Auditability,,,,
GR-R9,"For a fixed candidate pool and date snapshot, Models 1-3 must always produce the same 3 plans — no randomization without a fixed seed",R5.5,Architectural (system design),"Non-reproducible output treated as a bug, same standard as BO Config's GR-16"
GR-R10,"Every plan-generation run must be logged: which model produced which plan, what inputs were used, what output resulted, and which plan the user selected",All,At computation time,Missing log entry blocks that day's plan from being finalized — mirrors BO Config's GR-17
