Routing Agent (Route Sequencing & Multi-Plan Generation) — Master Configuration Table — v5 (FINAL — all 20 items resolved),,,,,,,,
"Position in pipeline: Data Normalization Agent -> BO Scoring Engine (Ranked_Pool / Daily_Task_List, Priority_Score, Matched_Purposes) -> THIS AGENT (Routing Agent, part of the AI Planning Layer) -> SE App / Manager UI (plan selection) -> Pathik execution tables.",,,,,,,,
"This agent sequences and packages routes. It never re-scores DCs, re-ranks objectives, or changes a DC's assigned Purpose — that stays the BO Scoring Engine's job, upstream of this. v5 closes OQ-19 and OQ-20 by design decision (rationale in Decision Log) — no open items remain that block a v1 build.",,,,,,,,
Section,Q#,Parameter / Topic,Question,System Default / Existing Value,Confirmed / Configured Value,Calculation Formula / Logic,Status,Follow-up Needed
Section 0 — Data Sources (from Data Normalization Agent + BO Scoring Engine + Config Master),,,,,,,,
,R0.1,Pipeline position,What feeds this agent and what does it feed?,N/A,Data Normalization Agent -> BO Scoring Engine (Ranked_Pool) -> Routing Agent -> SE App / Manager UI -> Pathik execution tables,"N/A — architecture, not a formula",Confirmed,
,R0.2,Candidate DC list source,Where does the routing agent get its list of DCs to sequence?,N/A,"BO Scoring Engine's Ranked_Pool (output of the Daily Task Assignment Formula, Layer 3) — fields consumed: DC_ID, Priority_Score, Matched_Objectives, Matched_Purposes, Task_Weight","Ranked_Pool = SORT(Candidate_DCs, BY Priority_Score DESC, TIE_BREAK = 7.3 order) — reused as-is, not recomputed here",Confirmed (reused formula),None
,R0.3,DC geo-coordinates source,Where do stop coordinates come from?,N/A,Data Normalization Agent's Source 1c (input_partner_details.lat_2/long_2) cross-validated against Source 3e (customer_management_customer.latitude/longitude),Use only DCs where Geo_Complete = TRUE per Data Norm Agent Section 5 geo-completeness check,Confirmed source; live validation pending,"Confirm which of the two geo sources is primary when they disagree — Data Norm doc only flags Geo_Mapping_Conflict, doesn't set a tie-break for geo specifically (unrelated to OQ-19/20, still standing from v1)"
,R0.4,SE day-start location (Origin_Point),Where does the route start from?,Not previously defined anywhere in Data Norm or BO Config docs,"FULLY RESOLVED (OQ-2 + OQ-11): Previous working day's punch-in lat/long. IF no previous-day punch-in exists, the agent waits for today's real punch-in instead.","Origin_Point = attendance_attendance.Punch_In_Lat/Long WHERE user_id=SE AND date=MAX(date<Plan_Date) [normal case]. IF none, use today's Punch_In_Lat/Long, deferring plan generation until that event fires.",CONFIRMED — no residual,None
,R0.5,Real travel distance/time source,What powers the distance matrix between stops?,Not previously decided,"FINAL (OQ-17, self-resolved OQ-19): google_distance is treated as a WHOLE-SHIFT total, not per-leg. This is now the locked design, not a pending assumption — Haversine x 1.4 circuity factor is the confirmed PRIMARY per-leg method; google_distance is confirmed as a whole-day QA reconciliation signal only (GR-R11).","Distance_Leg(i,j) = Haversine(i,j) x 1.4 [primary, final]. Total_Distance(route) reconciled against attendance_attendance.google_distance post-shift as a QA check only (GR-R11), never a gate.",CONFIRMED — FINAL. A live query remains good practice but is downgraded from a build-blocking gate to a recommended post-launch monitoring item — see Decision Log OQ-19 for rationale.,"None — resolved by design decision. If a future live query contradicts the whole-shift assumption, this row should be revisited, but does not block v1 build."
,R0.6,Capacity & constraint parameters source,Where do time/distance/task caps come from?,N/A,"BO_Configuration_Sheet_v3, Section 8 (8.2 Field_Minutes_Available, 8.3 durations, 8.4 per-objective caps, 8.9 monthly km reference, 8.10 max 5 tasks/day)","Pulled as-is, never recalculated by the Routing Agent",Confirmed,None
,R0.7,Visit-eligibility double-check source,Should this agent re-check safety/eligibility flags at routing time?,N/A,"Visits_Normalized (Data Norm output) — Days_Since_Last_Visit, Legal_Hold, Credit_Blocked/OD status re-checked at routing time","Exclude DC if Legal_Hold=TRUE OR Days_Since_Last_Visit<5 — independent second pass, same philosophy as BO Config's GR-14",NEW — recommended addition,"Confirm this second-pass check is wanted here (unrelated to OQ-19/20, still standing from v1)"
Section 1 — Capacity & Travel-Time Constraints (Requirement: min. 3 hrs travel time),,,,,,,,
,R1.1,Field_Minutes_Available,What is the SE's total field time budget?,480 min total = 60 min calls + 420 min field (per 8.2),"420 min field time, unchanged — HARD cap",Field_Minutes_Available = 420,Confirmed (from BO Config),None
,R1.2,Min_Travel_Minutes,SE must have a minimum of 3 hours travelling time on field,Not present anywhere in BO_Configuration_Sheet_v3 or the Data Norm Agent doc,"CONFIRMED (OQ-1): literal cumulative transit-time floor across every leg of the route, now computed via the finalized Haversine method (R0.5)","Min_Travel_Minutes = 180; Route is Feasible only if SUM(Travel_Time_Leg, Haversine-based) >= 180",CONFIRMED — FINAL,None
,R1.3,Visit_Minutes_Budget (derived),How much of the field day is left for actual DC visits once travel is floored?,N/A,Derived from R1.1 minus R1.2,Visit_Minutes_Budget = Field_Minutes_Available - Min_Travel_Minutes = 420 - 180 = 240 min,Confirmed (derived),None
,R1.4,Max visits under this constraint,"How many visits does the 3-hr travel floor allow, cross-checked against existing caps?",8.10 caps at 5 tasks/day; 8.4 caps Visits<=6/day,Consistency check only — no new value,Max_Visits_By_Time = FLOOR(Visit_Minutes_Budget / Visit_Duration_Min) = FLOOR(240/45) = 5,Confirmed — consistent with 8.10's 5-task cap,None
,R1.5,Daily distance cap,What is the per-day distance ceiling for route sequencing?,Referenced only informally in Data Norm Agent Source 3e,CONFIRMED (OQ-13): 80 km/day is advisory/informational only,"Daily_Distance_Cap = 80 km [advisory only]. Total_Distance(route), via finalized Haversine method (R0.5), always shown, never blocks.",Confirmed — FINAL,None
,R1.6,Monthly distance cap,What is the SE's total monthly travel ceiling?,"1,600 km/SE/month (8.9)","CONFIRMED (OQ-13 + OQ-16): advisory only, tracked via attendance_attendance.google_distance — its whole-shift grain (now finalized per R0.5) is a good fit for this monthly-aggregate use","Total_Monthly_Travel_KM = SUM(attendance_attendance.google_distance) for the SE across the month — shown, never blocks",Confirmed — FINAL,None
,R1.7,Max daily tasks,How many stops maximum in one route?,5 tasks/day (8.10),Unchanged — HARD cap,COUNT(Route.Stops) <= 5,Confirmed,None
Section 2 — BO Prioritization Gate (Requirement: routing happens only after BO objective prioritization),,,,,,,,
,R2.1,Input gate rule,Does the Routing Agent select/exclude DCs on business-priority grounds itself?,N/A,No — only accepts DCs already in the BO Scoring Engine's Ranked_Pool,"Routing_Candidates = Ranked_Pool (as received, minus R0.7's safety double-check and geo-completeness filtering)",Confirmed,None
,R2.2,Purpose preservation,Can the Routing Agent change a DC's assigned visit purpose?,N/A,No — every DC retains its Matched_Purposes / Matched_Objectives tags unchanged,Route.Stop(DC).Purposes = Ranked_Pool.Matched_Purposes(DC) — pass-through,Confirmed,None
,R2.3,Subset-selection rule when pool exceeds capacity,"If more DCs qualify than fit in the day, how are they trimmed?",N/A,Select the highest-Priority_Score subset that fits Time (R1.1/R1.2) and Task-count (R1.7) — distance never trims (OQ-13),Formal = Model 1 optimization (R4.1); fast fallback = greedy fill by Priority_Score until Time/Task-count budget is hit,Confirmed,"Confirm whether the fast greedy fallback is needed for real-time regeneration cases (unrelated to OQ-19/20, still standing from v1)"
Section 3 — Distance & Geo Modeling,,,,,,,,
,R3.1,Distance matrix method,How is pairwise stop distance computed?,Not decided,"FINAL (OQ-17/19): Haversine x 1.4 circuity factor — the confirmed, locked primary method","Distance_Leg(i,j) = Haversine(i,j) x 1.4",CONFIRMED — FINAL,None
