"Routing Agent (Route Sequencing & Multi-Plan Generation) — v5 FINAL, all 20 open items resolved",,,,
"Pipeline: Data Normalization Agent → BO Scoring Engine (this workbook, Ranked_Pool/Priority_Score/Matched_Purposes) → THIS AGENT (sequences routes, never re-scores DCs or changes a Purpose) → SE App / Manager UI → Pathik execution tables. Condensed from Routing_Agent_Configuration_Sheet_v5_FINAL.xlsx, uploaded in full alongside this workbook.",,,,
Q#,Parameter / Topic,Confirmed / Configured Value,Calculation Formula / Logic,Status
Section 0 — Data Sources,,,,
R0.2,Candidate DC list source,"BO Scoring Engine's Ranked_Pool (DC_ID, Priority_Score, Matched_Objectives, Matched_Purposes, Task_Weight)","Ranked_Pool = SORT(Candidate_DCs, BY Priority_Score DESC, TIE_BREAK=7.3) — reused as-is, never recomputed here",Confirmed
R0.3,DC geo-coordinates source,customer_management_customer.latitude/longitude PRIMARY (Data Norm confirmed); input_partner_details.lat_2/long_2 FALLBACK only,Use only DCs where Geo_Complete=TRUE,Confirmed
R0.4,SE day-start location (Origin_Point),"Previous working day's punch-in lat/long; if none exists, wait for today's real punch-in",Origin_Point = attendance_attendance.Punch_In_Lat/Long WHERE date=MAX(date<Plan_Date); else wait for today's event,CONFIRMED — FINAL
R0.5,Real travel distance/time source,"google_distance = WHOLE-SHIFT total, not per-leg. Haversine ×1.4 is the locked PRIMARY per-leg method","Distance_Leg(i,j)=Haversine(i,j)×1.4 [primary]. Total_Distance reconciled against google_distance post-shift as QA only (GR-R11)",CONFIRMED — FINAL
R0.6,Capacity params source,"BO_Configuration_Sheet_v3 Section 8 (8.2 Field_Minutes, 8.3 durations, 8.4 caps, 8.9 monthly km, 8.10 max 5 tasks/day)","Pulled as-is, never recalculated by the Routing Agent",Confirmed
R0.7,Visit-eligibility double-check,"Visits_Normalized — Days_Since_Last_Visit, Legal_Hold, Credit_Blocked/OD re-checked at routing time","Exclude DC if Legal_Hold=TRUE OR Days_Since_Last_Visit<5 — independent 2nd pass, same philosophy as GR-14",New — recommended addition
"Section 1 — Capacity & Travel-Time Constraints (CORRECTED requirement: max. 3 hrs travel time, not min.)",,,,
R1.1,Field_Minutes_Available,"420 min field time, unchanged — HARD cap",Field_Minutes_Available = 420,Confirmed
R1.2,Max_Travel_Minutes,"CORRECTED: SE's travel time in the field must NOT EXCEED 3 hours (180 min) — a hard CEILING, not a floor. Distance (R1.5/R1.6) is advisory only; this time-based ceiling is the real hard travel constraint.",Max_Travel_Minutes=180; Route Feasible only if SUM(Travel_Time_Leg)≤180,CORRECTED — FINAL (was wrongly documented as a minimum floor)
R1.3,Visit_Minutes_Budget (derived),≥240 min guaranteed for actual DC visits (more if travel comes in under the 180-min ceiling),"Visit_Minutes_Budget (minimum) = Field_Minutes_Available - Max_Travel_Minutes = 420-180 = 240 min floor, scales up as travel comes in under cap",Confirmed (derived) — recalculated for the ceiling framing
R1.4,Max visits under this constraint (dynamic),5 tasks/day is the BEST-CASE ceiling only — the actual number that fits goes DOWN as real travel time between that day's stops grows toward the 180-min ceiling (R1.2),"Effective_Max_Visits(day) = FLOOR((Field_Minutes_Available − Actual_Travel_Time_For_Route) / Visit_Duration_Min), capped at 5 (8.10/R1.7). Worked range: at low travel (e.g. 60 min), FLOOR((420−60)/45)=8, capped at 5 → Effective=5. At the 180-min travel ceiling, FLOOR((420−180)/45)=5 using the fast end of the 45–60 min visit-duration range, or FLOOR(240/60)=4 using the slow end — so 5 is only reliably hit when travel stays comfortably under the ceiling. If reaching the top-priority stops would need travel beyond 180 min even before visit-time math, GR-R5 trims stops until the route fits, which can push the actual count below 4","Confirmed — recalculated for the ceiling framing, this is the live per-day formula, not just a static consistency check"
R1.5,Daily distance cap,"80 km/day — ADVISORY ONLY, never blocks. Confirmed NOT a hard cap.","Daily_Distance_Cap=80km [advisory]; Total_Distance always shown, never blocks",Confirmed — FINAL
R1.6,Monthly distance cap,"1,600 km/SE/month (matches 8.9) — ADVISORY ONLY, tracked via SUM(google_distance). Confirmed NOT a hard cap.","Total_Monthly_Travel_KM = SUM(attendance_attendance.google_distance) — shown, never blocks",Confirmed — FINAL
R1.7,Max daily tasks,"5 tasks/day (matches 8.10) — HARD cap, unchanged",COUNT(Route.Stops) ≤ 5,Confirmed
Section 2 — BO Prioritization Gate,,,,
R2.1,Input gate rule,Routing Agent does NOT select/exclude DCs on business-priority grounds — only accepts Ranked_Pool as received,Routing_Candidates = Ranked_Pool minus R0.7 safety check and geo-completeness filter,Confirmed
R2.2,Purpose preservation,Routing Agent CANNOT change a DC's assigned Matched_Purposes/Matched_Objectives,Route.Stop(DC).Purposes = Ranked_Pool.Matched_Purposes(DC) — pass-through only,Confirmed
Section 3 — Distance & Geo Modeling,,,,
R3.1,Distance matrix method,"Haversine × 1.4 circuity factor — the confirmed, locked primary method","Distance_Leg(i,j)=Haversine(i,j)×1.4",CONFIRMED — FINAL
R3.2,Travel time estimate,Derived from Distance_Leg via an average-speed assumption — Avg_Speed_Kmph STILL UNDEFINED,"Travel_Time_Leg = Distance_Leg / Avg_Speed_Kmph [FILL IN, e.g. 25-30 km/h]",Method confirmed; speed value open — single most important undefined number on this sheet
R3.3,Origin/return point,Closed route — returns to Origin_Point,"Route = [Origin_Point, Stop_1, ..., Stop_N, Origin_Point]",Confirmed
Section 4 — Route Generation Models (min. 3 required),,,,
R4.1,Model 1 — Priority-Max (primary),"Google OR-Tools Routing Solver, Orienteering/Prize-Collecting formulation","Maximize Σ(Priority_Score×Visited) s.t. Travel≤180min [CORRECTED: ceiling, was wrongly ≥], Travel+Visit≤420min, Visited≤5. No distance cap","Recommended primary — FINAL, CORRECTED constraint direction"
R4.2,Model 2 — Distance-Min / Efficiency (secondary),"Nearest Neighbor + 2-opt/Or-opt local search, over Haversine distances",Visit_Set=TOP-K by Priority_Score fitting R1.1/R1.2/R1.7; minimize ΣDistance via NN+2-opt,Recommended secondary — FINAL
R4.3,Model 3 — Balanced / Weighted (tertiary),"Clarke-Wright Savings + 2-opt, blended score. Alpha_Min=0.4, Alpha_Max=0.8, Global_Default=0.6","Blended_Score = alpha×Priority_Captured + (1-alpha)×(1-Travel_Time); alpha derived per-node from historical travel time (higher travel → lower alpha, since the 180-min ceiling is more likely to be breached there — direction unchanged by the floor→ceiling correction, only the rationale wording)",CONFIRMED — FINAL
R4.4,Model 4 — SE Self-Override,SE can manually pin/adjust a subset or sequence; validated against guardrails only,Validation-only pass-through against R1.1/R1.2/R1.7/R2.2/GR-R1/GR-R2,"Confirmed, in scope for v1"
Section 5 — Multi-Plan Sync & Selection,,,,
R5.1,Number of plans generated,"Minimum 3 algorithm-generated plans (Models 1-3), synced together",Plans_Synced ≥ 3,Confirmed
R5.3,Selection mechanism,"SE selects, after that day's punch-in, no fixed cutoff",Selected_Plan WHERE Selection_Timestamp > Punch_In_Time (today),Confirmed
R5.5,Reproducibility / audit,Same inputs always produce the same 3 plans — mirrors GR-16/17 philosophy,"Fixed pool + date snapshot → same 3 plans, no randomization without a fixed seed",Confirmed
Section 6 — Output Schema,,,,
R6.1,Per-plan output fields,"Plan_ID, Ordered_Stops[DC_ID, Sequence_No, Purposes, ETA, Distance, Travel_Time, Visit_Duration], Priority_Score_Captured, Dropped_DCs, Feasible(T/F)",N/A,Confirmed — FINAL
