"Routing Agent — Outcome Example (Illustrative Worked Example, End-to-End)",,,
"This sheet is a SAMPLE walkthrough, not live data — every name, ID, score, and number below is illustrative, built only to show how the ≥3-route-plan requirement, SE selection, and downstream 'Pitching Agent' handoff fit together for one SE on one day. Replace with real Ranked_Pool output once the Routing Agent is built. The Pitching Agent itself is NOT part of the Routing Agent's own configuration (Sheets 1-3) — it's shown here only to illustrate what a purpose-driven handoff to the next agent in the pipeline could look like.",,,
"STEP 1 — Candidate Pool (received from BO Scoring Engine's Ranked_Pool, per R0.2/R2.1)",,,
"Context: SE_ID=SE10234 (Ramesh Kumar), Node=Muzaffarpur, State=Bihar, Plan_Date=13-Aug-2026. Origin_Point = previous day's punch-in near Muzaffarpur town centre (per R0.4).",,,
DC_ID,DC Name,Priority_Score,"Matched_Purpose (from BO Scoring, R2.2 pass-through)"
DC1001,Shree Balaji Agro Center,92,Promise-to-Pay Collection (BO2)
DC1002,Kisan Seva Kendra,85,Liquidation Support (BO6)
DC1003,Annapurna Agri Store,78,Sale / GMV Growth (BO1)
DC1004,Ganga Fertilizers,65,PVE Sale (BO4)
DC1005,Mahaveer Agro,55,Relationship / Visit Cadence (BO5)
"STEP 2 — Three (minimum) Route Plans Generated & Synced Together (R5.1, R4.1-R4.3)",,,
Plan_ID,Plan_Type / Model,Stops Included (in visit order),"Total_Distance_KM (informational, R1.5) / Total_Travel_Min / Total_Visit_Min / Priority_Score_Captured"
PLAN-A,"Model 1 — Priority-Max (R4.1, OR-Tools)",Origin -> DC1002 -> DC1001 -> DC1004 -> DC1003 -> Origin,"58 km / 240 min / 180 min (4 stops x 45 min) / 320 (all top-4 priority captured; DC1005 dropped — lowest priority, wouldn't fit Task-count/Time budget)"
PLAN-B,"Model 2 — Distance-Min / Efficiency (R4.2, NN+2-opt)",Origin -> DC1001 -> DC1004 -> DC1003 -> Origin,"39 km / 195 min / 135 min (3 stops x 45 min) / 235 (fewer, closer stops — shortest travel of the 3 plans)"
PLAN-C,"Model 3 — Balanced / Weighted (R4.3, Clarke-Wright, alpha=0.55 for Muzaffarpur node)",Origin -> DC1002 -> DC1001 -> DC1005 -> DC4 substituted... see note,"48 km / 220 min / 180 min (4 stops x 45 min) / 297 (drops DC1003, keeps DC1005 for cadence — a genuinely different mix from Plan A, not just a reordering)"
Note on PLAN-C stops,"Corrected stop list: Origin -> DC1002 -> DC1001 -> DC1005 -> DC1004 -> Origin (4 stops: DC1002, DC1001, DC1005, DC1004 — swaps DC1003 for DC1005 vs Plan A, illustrating the 'balanced' trade-off between pure priority and relationship cadence)",,
"All 3 plans satisfy: Min_Travel_Minutes >= 180 (R1.2), Field_Minutes_Available <= 420 (R1.1), Task-count <= 5 (R1.7). Distance shown is informational only, per OQ-13 — none of the 3 plans were capped or blocked on distance.",,,
"STEP 3 — SE Reviews and Selects One Plan (R5.2, R5.3)",,,
"Selection happens after SE10234's punch-in on 13-Aug-2026, no fixed cutoff (R5.3/OQ-15). SE reviews all 3 plans' stop lists, distances, times, and Priority_Score captured, then picks.",,,
Selected_Plan,Plan_Selected_By,Plan_Selected_At,Rationale (SE's own choice — not evaluated by the system)
PLAN-C (Balanced),SE10234 (Ramesh Kumar),"13-Aug-2026, 09:12 AM (post punch-in)","SE preferred keeping the relationship visit (DC1005) alongside high-priority stops, over Plan A's pure-priority set or Plan B's shorter-but-thinner route"
"STEP 4 — Selected Plan Detail (synced to SE App, Pathik task tables, manager dashboard — R5.1, R6.1)",,,
Seq_No,Stop (DC_ID / Name),ETA,Purpose Carried Through Unchanged (R2.2)
1,DC1002 — Kisan Seva Kendra,09:45 AM,Liquidation Support (BO6)
2,DC1001 — Shree Balaji Agro Center,11:05 AM,Promise-to-Pay Collection (BO2)
3,DC1005 — Mahaveer Agro,12:40 PM,Relationship / Visit Cadence (BO5)
4,DC1004 — Ganga Fertilizers,02:15 PM,PVE Sale (BO4)
Feasible = TRUE. Distance_Estimate_Mismatch_Flag = not yet applicable (checked post-shift per GR-R6).,,,
"STEP 5 — Pitching Agent Output (illustrative next-agent handoff, driven entirely by each stop's Purpose)",,,
This is NOT part of the Routing Agent's own scope — shown only to demonstrate that R2.2's 'Purpose preserved unchanged' design is what lets a downstream Pitching Agent build a relevant pitch without re-deriving why the SE is even visiting.,,,
Stop,Purpose (input to Pitching Agent),Illustrative Pitch Focus Generated,Illustrative Ask / Close
DC1002 — Kisan Seva Kendra,Liquidation Support (BO6),"Review current unsold/ageing stock on hand, identify slow-moving SKUs, discuss return or exchange options and any scheme support available to clear inventory",Agree an ageing-stock clearance plan with a specific quantity and timeline
DC1001 — Shree Balaji Agro Center,Promise-to-Pay Collection (BO2),"Reference the outstanding balance and the payment promise made on the last visit, reinforce the relationship, address any concerns raised previously",Collect payment or reconfirm a specific promise-to-pay date
DC1005 — Mahaveer Agro,Relationship / Visit Cadence (BO5),"General relationship check-in — no hard sales ask this visit — surface any issues, confirm satisfaction, note anything for future visits",No transactional close — log visit notes and any new information for future BO scoring
DC1004 — Ganga Fertilizers,PVE Sale (BO4),"Introduce or reinforce the relevant PVE (private-label/value-engineered) product line for this DC's typical basket, using past purchase pattern as context",Secure a trial or repeat order for the specific PVE product line
"The 'Illustrative Pitch Focus' and 'Ask/Close' columns above are sample outputs only — a real Pitching Agent would need its own data sources (transaction history, outstanding balances, scheme catalogues, prior visit notes) and its own configuration sheet, separate from this Routing Agent sheet.",,,
