"Data Normalization Agent — Source Map (6 sources, condensed from SE_DC_Data_Normalization_Agent_Prompt_1.docx)",,,,,
"This is the upstream stage that feeds this workbook: DC & SE Masters → Business Rules Config (this workbook) → THIS AGENT (raw feeds → normalized data) → BO Scoring Engine → Routing Agent → SE App. Down to 1 genuinely open gap (Source 6, AOP data) from a peak of 12.",,,,,
Source,Confirmed Table(s),Database,Join Key,Status,Key Trap(s)
1a,pathik_report,Redshift 41,visit_email,Confirmed (prior sessions),"visit_email IS NOT NULL is the reliable visit flag, not number_of_visits (frequently null even on visit days)"
1b,"task_management_task/plan, users_user",Postgres 31,mobile_number bridges se_user_id → SE_ID,CONFIRMED live,visit_purpose_name column is blank/deprecated — use visit_purpose_id join instead. 99.94% of plans are self-created by the assigned SE
1c,"input_partner_details (55 cols), input_se_node_mapping",Redshift 41,sap_partner_id (canonical DC_ID),CONFIRMED live,"latitude/longitude are JSON-wrapped strings — use lat_2/long_2 instead. active is varchar 'true'/'false', not boolean"
2,DC_RAnk.csv → DC_Master_Normalized,File (local),"Partner Id (10-digit, no dupes across 10,195 rows)",Confirmed,"Cohort (Strategic/Growth/Opportunity/Long Tail) is the real filter, not numeric Rank — Long Tail rows carry literal text ""Long Tail"". 4 different null placeholders: (blank), -, #N/A, #DIV/0!"
3a,attendance_attendance,Postgres 31,user_id,Confirmed,"Punch-out coords default to (0,0) when not yet checked out — treat as null, never as a real location"
3b/3c,"task_management_task/taskdetails, visitpurposeconfig",Postgres 31,task_id → plan_id → partner_id,Confirmed,"Sale purpose is only ~8% of visits; Promise To Pay/Collection is ~89%. ""Sale"" tag is a manual diary entry, never proof a transaction occurred"
3d,"sale_orderrequest (23 cols), coupon_analysis (~30 cols), customer_management_input_outstanding (17 cols)",Postgres 31 / Redshift 41,partner_id,"Confirmed, full schemas","coupon_applied_flag is constant 'true' on 100% of rows — use coupon_name IS NOT NULL instead. current_od/os_60 are text, cast before use"
3e,customer_management_customer,Postgres 31,partner_id = sap_partner_id,Confirmed — PRIMARY geo source,"google_distance lives on attendance_attendance, NOT here — common mix-up"
3f,payments_paymenttransaction,Postgres 31,customer_id (unconfirmed vs. partner_id),New — join key unproven,Flag any Last_Payment_Date from this join as Join_Key_Unconfirmed until validated
3g,"dc_mapping_club_scheme, dc_club_slabs",Redshift 41,partner_id,New — confirmed live,Presence in mapping table is a plausible but unconfirmed proxy for club enrollment — no explicit is_member flag
3h,sale_orderrequestline → products_product/template/category,Postgres 31,"product_id, order_request_id",CONFIRMED live,Resolves BO1's PL field: products_template.business_segment_name = 'PRIVATE LABEL'. discount_price_unit null ≠ zero
3i,"products_batch (warehouse), hyperlocal_outofstockproductsdcmapping (DC-level, binary)",Postgres 31 / kheti 4,N/A,DESCOPED by business decision,"Neither gives true DC-level stock quantity — Current Inventory intentionally out of scope, not pursued"
4,Metabase Q4645 (active status + planning history),Postgres 31,task→plan→user→customer→attendance→taskdetails,CONFIRMED live,"No per-visit check-out exists — Visit_Duration_Minutes resolved to flat 45 min (business decision). Photo_Logged must be derived from a JSON array, not a boolean column"
5,BO_Configuration_Sheet_v3 (this workbook),Local file / synced Google Sheet,N/A,FULLY RESOLVED,"All 50+ parameters have a resolved value or documented dynamic-resolution logic. Only 3.7 (order-block) is genuinely locked, off-limits to agent judgment"
6,Niyojan Q2-FY_26_27 Dashboard - Planning (AOP/target data),"Local file or dashboard, unconfirmed","SE_ID/DC_ID, Month, Metric",STILL OPEN — only genuine gap remaining,"Not yet live-verified — nature (dashboard vs. file) unconfirmed. Blocks BO1/BO4's AOP-dependent dynamic formulas (1.2, 1.3, 4.4)"
