"DC Card (Preface) — ""Dehaat Center Ko Jaano""",,,,
"Confirmed structure (user-specified): for EVERY subcategory (not just the top one) — Subcategory (ALL) with its value → Branded (ALL) with its value, product-wise → Private Label (ALL) with its value, product-wise with product name. Applied twice: 'Business Area Strength' on the Current YTD window, 'Historical Performance' on Last Year YTD (same period a year prior) — so subcategory-by-subcategory trend is visible, not just one aggregate number. Confirmed against SE_DC_Data_Normalization_Agent_Prompt (v3) + live production screenshot.",,,,
Section,Field,What SE Sees,Data Source,Status
1. कौन (Who),Business Area Strength (Current YTD),"ढांचा (user-specified): हर Subcategory (ALL — सभी, सिर्फ टॉप एक नहीं) अपनी कुल वैल्यू के साथ → उसके अंदर Branded (ALL — सभी Branded प्रोडक्ट्स) अपनी कुल वैल्यू के साथ, प्रोडक्ट-वाइज़ → और Private Label (ALL — सभी PL प्रोडक्ट्स) अपनी कुल वैल्यू के साथ, हर प्रोडक्ट का नाम दिखाते हुए। विंडो: चालू साल का YTD (ट्रेलिंग 12-महीना नहीं) — S7 के साथ कंसिस्टेंट।","Source 3h grouping logic (Sub_Category_Name → Business_Segment_Name → Product_Name) applied to a YTD date filter instead of the originally-confirmed trailing 12-month window — this is a variant of the confirmed query, date-filter change only, worth a quick confirm with the query owner that YTD framing is available the same way.",🟡 Structure confirmed live (screenshot) — YTD-specific window needs a one-line query confirm vs. the original 12-month version
1. कौन (Who),Historical Performance (Last Year YTD),"बिल्कुल वही ढांचा — हर Subcategory (ALL) अपनी वैल्यू के साथ → Branded (ALL) अपनी वैल्यू के साथ प्रोडक्ट-वाइज़ → Private Label (ALL) अपनी वैल्यू के साथ, हर प्रोडक्ट के नाम के साथ — लेकिन पिछले साल के इसी बिंदु तक के YTD पर (सिर्फ पूरा पिछला साल नहीं, पिछले साल की उतनी ही अवधि जितनी इस साल अभी तक बीती है)। दोनों टैग साथ रखने पर subcategory-दर-subcategory ट्रेंड साफ दिखता है।","S6 Last Year DC Purchase, same grouping logic, filtered to the same YTD window a year prior (e.g. if today is 21 Aug, last-year-YTD means 1 Jan–21 Aug of last year, not the full last year).","✅ Ready — reuses confirmed S6, same grouping logic; UI screenshot pending for this specific tag"
1. कौन (Who),Turnover-wise Standing,"DC का टर्नओवर — YTD और पिछले साल का परचेज़, या Club Scheme का Qualifying_Turnover (उन कैटेगरी को छोड़कर जो टर्नओवर में नहीं गिनी जातीं)।","Source 3d/3g — S6 Last Year Purchase, S7 YTD Purchase, or Qualifying_Turnover (Source 3g)",✅ Ready
1. कौन (Who),Repayment Cycle,"औसतन कितने दिनों में पेमेंट करता है (Avg Repayment Days), Paid-Within-Due-Days पैटर्न, और अभी कोई लाइव प्रॉमिस (promise_date/promise_amount) पेंडिंग है या नहीं।","Source 2 (DC_RAnk.csv — Avg Repayment Days, Paid Within Due Days) + Source 3d (promise_date/promise_amount, live commitment)",✅ Ready
1. कौन (Who),Scheme Standing,"DC किस क्लब टियर में है (Director's/Diamond/Platinum/Gold/Silver/Bronze/Copper), Qualifying Turnover, Outstanding क्लियर है या नहीं (एलिजिबिलिटी की शर्त), Zone (East/West — रिवॉर्ड बदलता है), TOD%।","Source 3g — DeHaat Club Scheme 2026-27 (signed policy), real 7-tier structure now confirmed",✅ Ready
2. DC कहां खड़ा है (Where DC Stands),Crop Type / Crop Style,"इस DC के किसान कौन सी फसल उगाते हैं, किस स्टाइल की खेती करते हैं — यह DC-first सवाल है (इस DC को देकर फसल पता करनी है)।","कोई कन्फर्म सोर्स नहीं। एक 'Product Cohort' internal tool (saas-platform-service.api.dehat.net/sps/v1/fp) की जांच की गई, लेकिन वो product-first है (प्रोडक्ट देकर सीज़नैलिटी + टारगेट DC कोहॉर्ट निकालता है) — उल्टी दिशा में काम करता है, इसलिए ये सवाल हल नहीं करता।","❌ Still a genuine gap for this DC-first question — no source, no realistic proxy either. Flag to business directly."
2. DC कहां खड़ा है (Where DC Stands),"Focus Product Campaign Targeting (नई, अलग क्षमता)","'DC कहां खड़ा है' से अलग सवाल — किसी एक Focus Product को देखते हुए, किन DCs को वो प्रोडक्ट पुश करना चाहिए और कब। यह पिछली row की जांच में मिली एक असली, अलग, उपयोगी क्षमता है — DC प्रोफाइल का हिस्सा नहीं, पर Pitching Agent के लिए काम की है।","'Product Cohort' API — कन्फर्म फ्लो: (a) प्रोडक्ट का हिस्टोरिकल परचेज़ पैटर्न, (b) LLM-inferred crop-seasonality (buildup/peak/closure हफ्ते), (c) उस प्रोडक्ट के लिए टारगेट DC कोहॉर्ट। देखें 'Focus Product Targeting' टैब पूरी डिटेल के लिए।","🟡 Real capability confirmed to exist — access-blocked (no auth handling, domain unreachable); Steps 2B/3 response schema still unconfirmed (empty in Postman collection)"
2. DC कहां खड़ा है (Where DC Stands),What's Upcoming to Sell,"आगे किस चीज़ की डिमांड/बिक्री आने वाली है — असली crop-calendar नहीं, बल्कि पिछले साल के इसी टाइम के पैटर्न + Block में अभी क्या चल रहा है, इन दोनों से एक अनुमान।","Proxy: S6 Last Year DC Purchase (same period) combined with S1 Same-Block Purchase — a seasonal-prediction substitute, not a true crop-calendar answer.","🟡 Proxy only — workable substitute, not a real answer"
3. प्राइवेट लेबल (Private Label),Recommended Product & Brief,"कौन सा विशिष्ट PL प्रोडक्ट इस विज़िट में बेचना है, और क्यों — Block पैटर्न + इस DC के PL टारगेट गैप के आधार पर एक संक्षिप्त सुझाव।","S1 Same-Block Purchase (product-wise, with Category & Segment) + S8 YTD PL Sale",✅ Ready
,,,,
"Sample Filled Card — M/s AGAM BEEJ BHANDAR (REAL data, from live production screenshot, ID 1000016754)",,,,
1. कौन,"Business Area Strength (Current YTD) — DC Total: ₹3,53,282 | DC-wide split: Branded ₹2,451 (0.7%) / Private Label ₹3,50,831 (99.3%)
[नोट: स्क्रीनशॉट में सिर्फ 2 subcategories दिखीं — नीचे और भी हो सकती हैं जो स्क्रॉल में कट गईं; असली कार्ड में ALL subcategories दिखनी चाहिए]
Subcategory (ALL) 1 — Cereal Crops Seeds: ₹2,02,002
    → Branded (ALL): ₹2,451 (1.2% of subcategory) — PADDY BAYER 6444 GOLD (BAYER) ₹2,451 (100.0%)
    → Private Label (ALL, product नाम के साथ): ₹1,99,551 (98.8% of subcategory) — PADDY GAPL DARA (GAPL) ₹1,67,694 (84.0%), GAPL RES PADDY DPS-108 (GAPL) ₹24,675 (12.4%), GAPL RES PADDY DPS-104 (GAPL) ₹7,182 (3.6%)
Subcategory (ALL) 2 — Insecticide: ₹1,32,980
    → Branded (ALL): ₹0 — कोई Branded प्रोडक्ट नहीं इस subcategory में
    → Private Label (ALL, product नाम के साथ): ₹1,32,980 (100.0% of subcategory) — SLAYMITE (GAPL) ₹1,28,000 (96.3%), ATAQUE (GAPL) ₹4,500 (3.4%), ATAQUE GR (GAPL) ₹480 (0.4%)",,,
1. कौन,"Historical Performance (पिछला साल का इतना ही YTD, ILLUSTRATIVE — इस specific DC के लिए असली स्क्रीनशॉट अभी उपलब्ध नहीं, सिर्फ ढांचा दिखाने के लिए सैंपल आंकड़े, product-level वैल्यू के साथ):
DC Total (पिछला साल YTD): ₹2,71,000 (सैंपल) | Branded ₹1,900 (0.7%) / Private Label ₹2,69,100 (99.3%)
Subcategory (ALL) 1 — Cereal Crops Seeds: ₹1,58,000 (सैंपल)
    → Branded (ALL): ₹1,900 (1.2%) — PADDY BAYER 6444 GOLD ₹1,900 (100.0%)
    → Private Label (ALL, product नाम व वैल्यू के साथ): ₹1,56,100 (98.8%) — PADDY GAPL DARA ₹1,31,124 (84.0%), GAPL RES PADDY DPS-108 ₹19,356 (12.4%), GAPL RES PADDY DPS-104 ₹5,620 (3.6%)
Subcategory (ALL) 2 — Insecticide: ₹1,00,500 (सैंपल)
    → Branded (ALL): ₹0
    → Private Label (ALL, product नाम व वैल्यू के साथ): ₹1,00,500 (100.0%) — SLAYMITE ₹96,782 (96.3%), ATAQUE ₹3,316 (3.4%), ATAQUE GR ₹402 (0.4%)
ट्रेंड: Cereal Crops Seeds ₹1,58,000 → ₹2,02,002 (ग्रोथ), Insecticide ₹1,00,500 → ₹1,32,980 (ग्रोथ) — दोनों subcategories में इस साल ग्रोथ दिख रही है (सैंपल आंकड़ों पर आधारित) — असली डेटा आने पर यही ढांचा भरा जाएगा",,,
1. कौन,"टर्नओवर: YTD/Qualifying Turnover — इस स्क्रीनशॉट में उपलब्ध नहीं, अलग सोर्स (Source 3d/3g) से आता है",,,
1. कौन,"Repayment/Scheme — इस स्क्रीनशॉट में उपलब्ध नहीं, अलग सोर्स (Source 2, Source 3g) से आता है",,,
