Guardrails — Controls on Every Agent-Produced Outcome,,,,
"Every dynamic decision the Data Agent / SE Daily Planner Agent makes (see Agent-Determined Parameters and Daily Task Assignment Formula) must stay inside one of these guardrails. Where a guardrail would be violated, the agent fails safe — it falls back to the ★ default, suppresses the output, or escalates to a human — it never silently produces an out-of-bounds result.",,,,
GR#,Guardrail Rule,Applies To,Enforcement Point,Failure Behavior
A — Hard Safety Rules (never agent-overridable),,,,
GR-01,"Order block on D grade — DC.BO3_Grade=""D"" blocks ALL new order booking until Outstanding_Amount=0",3.7,"Pre-transaction, hard-coded","Transaction rejected at API level — no agent, no override, no exception path"
GR-02,"Visit-before-PL-order — Order_Booking(""Private Label"") requires Visit_Completed=TRUE for that DC this cycle",8.8 (core rule),"Pre-transaction, hard-coded",Booking rejected regardless of any agent recommendation
GR-03,"Legal hold is an absolute block — DC.Legal_Hold=TRUE excludes the DC from every list and every agent output, no exceptions",6.4,Pre-generation filter,"DC silently omitted from candidate pool; never shown, never explained around"
B — Bounds on Agent-Determined Values,,,,
GR-04,PL growth % (agent-computed) must stay within 0–50% of the AOP baseline,1.3,At computation time,Out-of-bounds result discarded; falls back to ★ default (no extra growth required)
GR-05,Effort multiplier (agent-computed) must stay within 1.0×–2.0× of last month's visits; suppressed entirely while DC-to-SE mapping is still flagged dirty,2.3,At computation time,Effort scoring omitted for that SE that day; mapping-correction alert shown instead (see GR-20)
GR-06,Coverage/Effort weight split (agent-computed) must keep each side within 30–70%,2.4,At computation time,Weight clamped to nearest bound (30% or 70%) rather than applied as computed
GR-07,Supply-chain cost exclusion (agent-computed) may exclude no more than 15% of DCs in a single route/cluster per pass,6.1,At computation time,Exclusion list truncated to the top 15% most extreme outliers; remainder stays visible
GR-08,Credit-blocked/Blacklisted DC may never be marked visit-eligible if its OD% exceeds 10% — ties directly to the incentive policy's own OD cap,"6.4, Incentive 10.4",At computation time,DC forced to Full_Block regardless of any other signal the agent weighs
GR-09,Override rule (a) — Outstanding=D caps Overall Sales at B — stays ON by default; only a human toggling the config can disable it,7.4,At computation time,"Agent cannot silently turn this off on its own judgment, even with strong contextual signals"
GR-10,Agent-suggested discount can never exceed the last human-approved ceiling for that DC's category; defaults to 0% if no prior approval exists,8.8,Pre-transaction,"Any suggested discount above the ceiling is routed to a human for approval, never auto-applied"
C — Output Validation (post-generation checks),,,,
GR-11,"Daily_Task_List length must be ≤5 before being shown to the SE — CLARIFIED: 5 is a nominal ceiling from visit-duration-only math; the Routing Agent may further reduce the actual routed count once real travel time between stops is known (see Routing Agent R1.4, GR-R5)",8.10,Post-generation check,"List hard-truncated to the top 5 by Priority_Score if the formula somehow returns more; downstream, the Routing Agent may trim below 5 if real travel time threatens the 180-min ceiling — that trim is expected behavior, not a bug"
GR-12,"Daily_Task_List may never mix Day_Types — if it contains a Farmer_Meeting_Task, no DC_Visit_Task may also appear, and if it contains any DC_Visit_Task, no Farmer_Meeting_Task may also appear",8.11,Post-generation check,Any mixed-Day_Type combination is rejected and the list is regenerated from Layer 1
GR-13,"Time_Used may never exceed Field_Minutes_Available (420 min), and travel time within that may never exceed 180 min (3-hour ceiling) — both HARD caps. Monthly_Travel_KM (1,600) is tracked and shown but is advisory only, never a rejection trigger — CORRECTED from an earlier version of this guardrail that wrongly treated it as hard","8.2, 8.9, Routing R1.1/R1.2",Post-generation check,Plan rejected before reaching the SE app only for the two time-based breaches; a high monthly-km figure alone never rejects a plan
GR-14,No DC in Daily_Task_List may be Inactive/Closed or under Legal_Hold,"6.1, 6.4","Post-generation, independent second pass","DC removed even if it slipped through Layer 2's filtering; this is a deliberate double-check, not a duplicate"
GR-15,"No task may be assigned under a Visit Type with zero configured Visit Purposes (currently Demo Visit, External Meeting, Lead Generation, Node/Warehouse Visit)",Visit Type to Purpose (System),Pre-generation filter,Agent excludes these Visit Types from BO-driven planning entirely until a real Purpose is configured for them — an unpurposed visit can't be tagged to any objective or logged as a win
D — Determinism & Auditability,,,,
GR-16,"For a fixed data snapshot and date, the same SE must always receive the same Daily_Task_List — selection logic runs as deterministic code, never as free-form LLM generation",All Agent-Determined items,Architectural (system design),"Non-reproducible output is treated as a bug, not a matter of AI style"
GR-17,"Every dynamically-resolved value must be logged with: the value used, the data snapshot/timestamp it came from, and whether it hit a bound in Category B",All Agent-Determined items,At computation time,Missing log entry blocks that value from being used in the day's plan
E — Escalation Triggers (human-in-the-loop),,,,
