BO Scoring Engine — Master Configuration Table (Sections 0-8),,,,,,,,,
Section,Q#,Parameter / Topic,Question,System Default (★ Today),Configured Value (Business Decision),Calculation Formula / Logic,Status,Locked / Adjustable,Follow-up Needed
Section 0 — Ground Rules (apply to every objective),,,,,,,,,
,0.1,Scoring level,"Should we score performance for each salesperson, for each DC, or both?",★ Both — score each SE and each DC,"Both, kept — but DC rating treated as high priority; SE grade benchmarked against last year's performance (not just this-month average)","N/A — organisational rule, not a numeric formula. Two independent scores computed: DC_Score (per DC, see BO1-BO5 below) and SE_Score = f(This_Year_Performance, Last_Year_Performance) [benchmark formula TBD]",Overridden,Adjustable,Confirm exact formula for 'last-year benchmark' comparison for SE scoring
,0.2,Time period definitions,How should we define time periods such as 'this month' or 'last 90 days'?,★ This month = 1st-to-today · Last month = full previous calendar month · Last 90 days = 90 days before today,Confirmed — 'last 90 days' window (today minus 90 days) is the primary lookback used across objectives,Period_Start = TODAY() − 90; Period_End = TODAY(). This window is the primary lookback referenced wherever an 'average' or 'recent performance' formula is used below.,Confirmed Default,Adjustable,
,0.3,Mid-month target scaling,"Partway through the month, should we scale the target down to match days passed?",★ Yes — scale target down to match days passed,No — always compare against the full month's target (scaling down would weaken the SE's habit of hitting full target early),Effective_Target = Full_Month_Target (constant all month; NOT Full_Month_Target × Days_Passed ÷ Days_In_Month),Overridden,Adjustable,
,0.4,Grade scale meaning,What does a good grade (A-D) mean?,"★ A = best / highest value, D = worst / needs urgent attention","Confirmed — A=best, D=worst, based on: Avg. repayment days, Gross margin (₹), Private Label value, Net revenue value, Gross margin %","N/A — defines grade direction only (A=highest performance, D=lowest), applied uniformly to every grade formula below.",Confirmed Default,Adjustable,
Section 1 — Objective 1 (BO1): Private Label Sales,,,,,,,,,
,1.1,PL measurement unit,What should we use to measure Private Label sales?,★ Total value of PL orders (₹),"Expanded — track all three measures in parallel: (1) Total value of PL orders (₹) [original ★ default], (2) Number of PL orders placed, (3) Number of distinct DCs buying PL","PL_Value (₹) = SUM(Order_Line_Value) WHERE Product.Tag=""Private Label"" AND Order_Date in period.
PL_Order_Count = COUNT(Orders) WHERE Product.Tag=""Private Label"" AND Order_Date in period.
PL_DC_Count = COUNT(DISTINCT DC_ID) WHERE DC placed ≥1 Private Label order AND Order_Date in period",Expanded (Multi-Metric),Adjustable,"1.5's grade cutoffs are defined against PL_Value only — confirm whether PL_Order_Count and PL_DC_Count should feed a composite BO1 score, or remain supplementary signals the Data Agent surfaces alongside the grade without their own cutoffs"
,1.2,PL comparison baseline,What should this month's PL number be compared against?,★ Average of the last 12 months,"Overridden — compare against BOTH: (1) average of the last 90 days, and (2) the AOP annual target; AOP parameter itself flexes with weather, new product launches, and sales team headcount on ground","PL_Expected_90d = AVERAGE(PL_Actual) over trailing 90 days; PL_Expected_AOP = AOP_Target_PL (adjusted periodically for weather / new-product / team-size factors). PL_Expected = COMBINE(PL_Expected_90d, PL_Expected_AOP) [combination method TBD — e.g. average of the two, or MAX/MIN]",Overridden,Adjustable,Define how the 90-day-average expectation and the AOP-target expectation combine into one PL_Expected value
,1.3,PL growth requirement,"Should we require growth on top of the average, or is matching it enough?",★ No extra growth required,"Growth requirement is not a fixed number — instead, require x% growth tied to the AOP target",PL_Expected = AOP_Target_PL × (1 + x%_dynamic),Agent-Determined (Dynamic),Adjustable,"Data Agent computes the required growth % dynamically per DC/territory from the live AOP growth assumption for that quarter, rather than one fixed percentage"
,1.4,PL product definition,Which products should count as 'Private Label'?,(no default marked),Any product already tagged as Private Label (own product) in the system,"Include Order_Line WHERE Product.Tag = ""Private Label"" — CONFIRMED real field (Data Norm Agent, Source 3h, live query): products_template.business_segment_name = 'PRIVATE LABEL'. Live sample confirms it populates correctly (e.g. NUTRI ONE and GAPL-branded products both tagged PRIVATE LABEL).",Confirmed Default,Adjustable,"Field is now confirmed and build-ready — no further follow-up. Resolves what was previously just ""any product tagged Private Label"" with no concrete column."
,1.5,PL grade cut-offs,At what performance ratio (actual ÷ expected) should each grade apply?,★ A ≥ 100% · B ≥ 50% · C ≥ 25% · otherwise D,Custom cut-offs — A = 80-100% · B = 60-80% · C = 40-60% · D < 40%,"PL_Ratio = PL_Actual ÷ PL_Expected. Grade = IF(PL_Ratio≥0.80,""A"", IF(PL_Ratio≥0.60,""B"", IF(PL_Ratio≥0.40,""C"",""D"")))",Overridden,Adjustable,"Confirm treatment for PL_Ratio > 100% (still Grade A, or a higher band?)"
Section 2 — Objective 2 (BO2): DC Visits (Coverage & Effort),,,,,,,,,
,2.1,Valid visit definition,"What should count as a genuine, valid DC visit?",★ An in-app check-in at the DC,A visit must include: staying at the DC for at least 10 minutes AND logging a photograph,"Valid_Visit = (Visit_Duration_Minutes ≥ 10) AND (Photo_Logged = TRUE). RESOLVED (Data Norm Agent, business decision): no per-visit check-out timestamp exists in the data (task_management_taskdetails has ~1 row per task, one timestamp, no check-out) — so Visit_Duration_Minutes is now a flat, confirmed 45 minutes for every visit, used for both planning and grading. Photo_Logged must be derived from a JSON image array on that same table (at least one entry), never read as a boolean column.",Overridden,Adjustable,"Practical consequence, confirmed not accidental: since 45 ≥ 10, the duration half of Valid_Visit always passes now — grading effectively reduces to Photo_Logged alone. Duration no longer discriminates between visits for BO2 scoring. Worth reconfirming this is the intended long-run outcome, not just an acceptable workaround for a data gap."
,2.2,Coverage target,What should the target be for number of unique DCs visited (coverage)?,★ 1.5 × last month's unique DCs visited,Fixed target — all mapped DCs in the SE's territory must be covered within the month (not a multiplier of last month),Coverage_Target = COUNT(All Mapped DCs in SE Territory); Coverage_% = COUNT(DISTINCT DCs Visited This Month) ÷ Coverage_Target,Overridden,Adjustable,
,2.3,Effort target,What should the target be for total number of visits (effort)?,★ 1.25 × last month's total visits,Variable / not fixed — condition: DC-to-SE mapping must first be corrected (no under-mapping or over-mapping) before an effort multiplier is meaningful,"Effort_Target = Last_Month_Total_Visits × Multiplier_Dynamic, computed only after Mapping_Correction_Complete = TRUE",Agent-Determined (Dynamic),Adjustable,"SE Daily Planner Agent checks live DC-to-SE mapping-quality status each query; once mapping is confirmed clean, it derives the multiplier from the SE's trailing 3-month visit trend rather than a fixed 1.25x, and surfaces a mapping-correction alert instead of a target while mapping is still flagged dirty"
,2.4,Combine coverage + effort,How should the coverage score and effort score be combined into one?,★ Multiply the two scores together,Weighted average of coverage % and effort % (not multiplication),"BO2_Score = (W1 × Coverage_%) + (W2 × Effort_%), where W1 + W2 = 100%, weights set dynamically",Agent-Determined (Dynamic),Adjustable,"Agent weights Coverage vs. Effort dynamically each query based on whichever is further behind its target that period — the bigger gap gets more weight that day, instead of a fixed split"
,2.5,Min days before revisit,Minimum number of days before the same DC can be visited again?,★ 5 days,"5 days under normal conditions; if the DC has an overdue (OD) balance, timing instead depends on direct DC/SE communication",Revisit_Allowed = (Days_Since_Last_Visit ≥ 5) OR (DC.OD_Status = TRUE AND Agreed_Revisit_Date reached),Confirmed Default,Adjustable,"Define the OD exception rule precisely (who decides timing, any cap)"
,2.6,Overdue weighting for visit priority,"After how many days is a DC 'overdue', and how much extra weight can a large DC get?",★ Overdue after 30 days; large DC counts up to 2× a small DC,Confirmed — overdue after 30 days; large DC capped at 2× weight vs. a small DC,"Overdue_Flag = (Days_Since_Last_Visit > 30); Priority_Weight = Base_Weight × Size_Multiplier, where Size_Multiplier = MIN(DC_Size_Ratio, 2.0)",Confirmed Default,Adjustable,
,2.7,BO2 grade cut-offs,At what score should each grade apply?,★ Coverage/Effort: A≥1.0 · B≥0.7 · C≥0.4. Visit-priority: A≥1.5 · B≥1.0 · C≥0.5,Confirmed — kept as-is,"CovEffort_Grade = IF(BO2_Score≥1.0,""A"",IF(BO2_Score≥0.7,""B"",IF(BO2_Score≥0.4,""C"",""D""))). VisitPriority_Grade = IF(Priority_Score≥1.5,""A"",IF(Priority_Score≥1.0,""B"",IF(Priority_Score≥0.5,""C"",""D"")))",Confirmed Default,Adjustable,
Section 3 — Objective 3 (BO3): Outstanding Payments (AR),,,,,,,,,
,3.1,Expected outstanding balance,How should we calculate the 'expected' outstanding balance for a DC?,"★ Last month's outstanding, adjusted for this month's sales growth",Confirmed — as above,Expected_Outstanding = Last_Month_Outstanding × (1 + Sales_Growth_%),Confirmed Default,Adjustable,
,3.2,Aging buckets,How should we group overdue amounts by age?,★ 0-30 · 31-60 · 61-90 · 90+ days,Confirmed — 0-30 · 31-60 · 61-90 · 90+ days,"Bucket = IF(Days_Overdue≤30,""0-30"",IF(Days_Overdue≤60,""31-60"",IF(Days_Overdue≤90,""61-90"",""90+"")))",Confirmed Default,Adjustable,
,3.3,Aging bucket risk weights,How much should each age group count toward the DC's risk score?,★ 0.2 / 0.5 / 0.8 / 1.0,Confirmed — 0.2 / 0.5 / 0.8 / 1.0,"Risk_Weight = LOOKUP(Bucket, {""0-30"":0.2, ""31-60"":0.5, ""61-90"":0.8, ""90+"":1.0}); DC_Risk_Amount = SUM(Bucket_Amount × Risk_Weight) across all buckets",Confirmed Default,Adjustable,
,3.4,Score cap vs. expected,Should we cap how far the score can move above/below 'expected'?,★ Cap between 50% and 150% of expected,Confirmed — cap between 50% and 150% of expected,"Outstanding_Ratio = MIN(MAX(DC_Risk_Amount ÷ Expected_Outstanding, 0.50), 1.50)",Confirmed Default,Adjustable,
,3.5,What counts as outstanding,Which unpaid balances should count as 'outstanding'?,"★ All open, unpaid invoices","Confirmed — all open, unpaid invoices (including disputed amounts)","Outstanding_Amount = SUM(Invoice_Amount) WHERE Invoice_Status = ""Open/Unpaid"" (no exclusion for disputed or billing-error line items)",Confirmed Default,Adjustable,
,3.6,BO3 grade cut-offs,At what score should each grade apply?,★ A ≥ 100% · B ≥ 75% · C ≥ 50% · otherwise D,Confirmed — as above,"BO3_Grade = IF(Outstanding_Ratio≥1.0,""A"",IF(Outstanding_Ratio≥0.75,""B"",IF(Outstanding_Ratio≥0.50,""C"",""D"")))  — formula unchanged from system; ratio direction as originally defined by engine (confirm with engineering if 'higher = better' or 'higher = riskier')",Confirmed Default,Adjustable,"Have engineering confirm the direction of Outstanding_Ratio in the live code, since the questionnaire's own example (80%→B) reads ambiguously against a pure 'more debt = worse' interpretation"
,3.7,🔒 Block orders on D grade,"If a DC is graded D on Outstanding Payments, should we block new orders until it pays?",★ 🔒 Yes — block new order booking until balance is cleared,"Confirmed — Yes, block new order booking until the balance is cleared","IF DC.BO3_Grade = ""D"" THEN Block_New_Order = TRUE (cleared only when Outstanding_Amount = 0)",Safety Rule - Confirmed,"Fixed (safety rule, 🔒)",
Section 4 — Objective 4 (BO4): Overall Sales Growth,,,,,,,,,
,4.1,Primary focus of BO4,What should this objective mainly measure?,★ Sales momentum only,Both — momentum sets the daily priority; reactivation of quiet DCs builds the visit list,"BO4_Priority_Score = Momentum (see 4.2); BO4_Visit_List = RANK(DCs, BY Reactivation_Need DESC) WHERE DC.Status = ""Quiet/Silent""",Overridden,Adjustable,
,4.2,Momentum measurement,How should we measure 'momentum' (speed of sales)?,★ Sales ÷ active selling days,Sales ÷ all working days (including days with no selling),"Momentum = Total_Sales_This_Period ÷ Total_Working_Days_In_Period (denominator = ALL working days, not just days with a sale)",Overridden,Adjustable,
,4.3,Spread measurement,How should we measure 'spread' (how many DCs are active)?,★ DCs that bought ÷ total DCs in territory,"Number of DCs that bought something, compared against a 12-month base (not current-territory ratio)",Spread_Ratio = COUNT(DISTINCT DCs_With_Purchase_This_Month) ÷ AVERAGE(COUNT(DISTINCT DCs_With_Purchase)) over trailing 12 months,Overridden,Adjustable,
,4.4,BO4 growth target multipliers,What growth targets (multipliers) should apply?,★ Momentum ×1.15 · Spread ×0.6-1.2,Category-specific multipliers: Cattle Feed ×1.2 · Crop Nutrition ×1.15 · Crop Protection ×1.2 · Field Crop = depends on seasonality (no fixed multiplier given),"Momentum_Target = Last_Period_Momentum × Category_Multiplier, where Category_Multiplier = LOOKUP(Product_Category, {""Cattle Feed"":1.20, ""Crop Nutrition"":1.15, ""Crop Protection"":1.20, ""Field Crop"":Seasonal_Factor[TBD]})",Overridden,Adjustable,"Field Crop multiplier is not fixed — business says it depends on seasonality. Supply the seasonal multiplier table (e.g. Kharif vs. Rabi factors), or confirm the Data Agent should derive it dynamically from historical seasonal averages the way the Agent-Determined items do"
,4.5,BO4 grade cut-offs,At what score should each grade apply?,★ Keep current cut-offs,"Confirmed — keep the current (★) cut-offs, no custom thresholds","BO4_Grade = [existing system cut-off logic, unchanged]",Confirmed Default,Adjustable,"The source questionnaire never enumerates BO4's actual current numeric cut-offs the way it does for BO1/BO2/BO3 — engineering should confirm the exact live A/B/C/D values already coded in the system, so this row can be updated with real numbers rather than 'keep current' as a placeholder"
Section 5 — Objective 5 (BO5): Long-Term Growth (Farmer Meetings & Onboarding),,,,,,,,,
