"Verbatim Question ↔ Answer Extract (straight from the uploaded questionnaire, no interpretation)",,,
Section,Q#,Question (verbatim from questionnaire),Answer (verbatim as written by business)
Section 0 — Ground Rules (apply to every objective),,,
,0.1,"Should we score performance for each salesperson, for each DeHaat Center, or both?",DC rating - High priority and SE is based on performance with last year benchmark
,0.2,How should we define time periods such as “this month” or “last 90 days”?,Today - 90 days
,0.3,"Partway through the month, should we scale the target down to match the days that have passed?",Not Reduced it will impact the habit of SE
,0.4,What does a good grade mean?,", on basis of Avg. repayment days, Gross margin, Private label value, Net revenue value, Gross margin %"
Section 1 — Objective 1: Private Label (Own-Brand) Sales,,,
,1.1,What should we use to measure Private Label sales?,Total value of Private Label orders (₹)
,1.2,What should this month's number be compared against?,"1) The average of the last 90 days
2) The company's annual target (AOP) - Parameter will be changed based on weather, new product, sale team on ground"
,1.3,"Should we require growth on top of that average, or is simply matching it enough?",we can't expect to fixed no. on growth side but have x% according to AOP
,1.4,Which products should count as “Private Label”?,Any product already tagged as Private Label in the system (own product)
,1.5,At what performance ratio (actual ÷ expected) should each grade apply?,Custom cut-offs: A = 80%-100% / B = 60%-80% / C = 40%-60% / D < 40%
Section 2 — Objective 2: DeHaat Center Visits (Coverage & Effort),,,
,2.1,"What should count as a genuine, valid DeHaat Center visit?",Staying at the DeHaat Center for at least 10 minutes with photograph
,2.2,What should the target be for the number of different DeHaat Centers visited (coverage)?,A fixed number: All mapped DC must be covered within the month
,2.3,What should the target be for the total number of visits (effort)?,Other: it's variable but 1st mapping should be corrected (not under and over-mapping)
,2.4,How should the coverage score and the effort score be combined into one?,Take a weighted average (coverage __% / effort __%)
,2.5,What is the minimum number of days before the same DeHaat Center can be visited again?,5 Days in normal condition and if condition of OD then depend on DC and SE communication
,2.6,"After how many days is a DeHaat Center “overdue”, and how much more weight can a large DeHaat Center get over a small one?",Overdue after 30 days; a large DeHaat Center can count for at most 2 times a small DeHaat Center
,2.7,At what score should each grade apply?,★ Coverage/Effort score: A ≥ 1.0 · B ≥ 0.7 · C ≥ 0.4. Visit-priority score: A ≥ 1.5 · B ≥ 1.0 · C ≥ 0.5
Section 3 — Objective 3: Outstanding Payments (Money Owed to Us),,,
,3.1,How should we calculate the “expected” outstanding balance for a DeHaat Center?,"Last month's outstanding balance, adjusted for this month's sales growth"
,3.2,How should we group overdue amounts by how old they are?,0–30 days · 31–60 days · 61–90 days · 90+ days
,3.3,How much should each age group count toward the DeHaat Center's risk score?,0.2 / 0.5 / 0.8 / 1.0
,3.4,Should we cap how far the score can move above or below “expected”?,Cap between 50% and 150% of expected
,3.5,Which unpaid balances should count as “outstanding”?,"All open, unpaid invoices"
