DC Club Scheme 2026-27 — Confirmed 7-Tier Reference,,,,
"Source: signed policy (DeHaat Club Scheme 2026-27 — Club Slabs, Terms & Conditions, Value Propositions East & West), Source 3g. Used by the DC Card's 'Scheme Standing' field. Turnover here is Qualifying Turnover only — Gross Business/Sales incl. GST, minus cashbacks/credit notes/combo offers/returns, and excludes Crop Nutrition WSFs, Cattle Feed, OP Field crop, Tools & Machinery, and Open Marketing/Clearance sales entirely. Achievement is all-or-nothing (100% of threshold, no partial credit). Eligibility also requires Outstanding cleared by 28 Feb 2027 — hitting the turnover alone is not enough.",,,,
Club Tier,Turnover Threshold,Reward (West Zone),Reward (East Zone),TOD %
Director's,"₹1,00,00,001+",Mahindra Thar,Mahindra Thar,—
Diamond,"₹60,00,000",Budapest+Vienna Single or Phuket+Krabi Couple,Same,2.25%
Platinum,"₹35,00,000",Hong Kong+Macau Single or Sri Lanka Couple,Same,2.00%
Gold,"₹24,00,000",Dubai+Abu Dhabi Single,Same,1.75%
Silver,"₹16,00,000",Phuket+Krabi Single,Same,1.25%
Bronze,"₹9,00,000",Kerala Single,Sikkim Single (differs by zone),1.00%
Copper,"₹4,00,000",Gold Voucher (₹16K),Same,0.50%
,,,,
Notes:,,,,
"• Slab-Advance Bonus: if a DC advances to a higher tier in FY26-27 vs. FY25-26, it gets an extra 0.25% TOD on FY25-26 net sales — new entrants don't get this. Computable from the already-confirmed Last Year DC Purchase query.",,,,
"• Non-monetary benefits (separate from tour/TOD): 'Stature Builders' — DC Events Invite from Bronze up, Newspaper Coverage at Diamond (and Platinum in the East zone specifically). 'Relationship Builders' — Festive Gifts from Bronze up, Wall/Shop Painting from Gold up, Customized GSB from Platinum up.",,,,
"• Known ambiguity in the source policy itself (not resolved here, flagged to the scheme owner): tour dates are given as both 'Mar/Apr 2026' and 'Mar/Apr 2027' in different parts of the same document — read this table by tier name only, and don't infer a specific disbursement date from it.",,,,
"• Scheme runs on a calendar year (1 Jan 2026 – 31 Dec 2026), NOT the April–March fiscal year used elsewhere in this pipeline (Last Year/YTD DC Purchase) — don't reuse one date-boundary assumption across both.",,,,
