Routing Agent — Decision Log (Resolutions to OQ-1 through OQ-20 — ALL ITEMS CLOSED),,
"This mirrors the style of BO_Configuration_Sheet_v3's own Implementation_Decision_Log. OQ-19 and OQ-20 were self-resolved (design decisions made directly, not referred back for further business input, per instruction) — rationale below.",,
Q#,Decision Made,Residual Follow-up (if any)
OQ-1,'Minimum 3 hours travelling time' means a literal cumulative floor on transit time across the whole route sequence. Implemented as R1.2: Min_Travel_Minutes = 180.,None.
OQ-2 / OQ-11,"Origin_Point = previous working day's punch-in lat/long; if none exists, the agent waits for today's real punch-in instead of guessing a fallback. Implemented as R0.4.",None.
OQ-3 / OQ-17 / OQ-19 (SELF-RESOLVED),"google_distance is a whole-shift total, not per-leg — Haversine x 1.4 is the final primary distance method (R0.5, R3.1); google_distance is a whole-day QA signal only (GR-R11). SELF-RESOLUTION RATIONALE for OQ-19: rather than leave this gated on a live query, the whole-shift-total reading is adopted as final because it's structurally consistent with a fact the Data Normalization Agent's own doc already confirmed — task_management_taskdetails (the per-DC-visit check-in table) has exactly one timestamp per visit, with no per-visit check-out event. Since there's no confirmed per-leg boundary anywhere in the data model for a per-leg distance to even be computed against, google_distance being a shift-level aggregate is the more internally consistent reading, not just a cautious default.","A live query remains good practice and is recommended as a POST-LAUNCH monitoring item (watch GR-R11's mismatch rate) rather than a pre-build gate. If it ever contradicts this reading, revisit R0.5/R3.1 — but this does not block a v1 build."
OQ-4 / OQ-13,"No hard cap on 80km/day or 1,600km/month — both advisory/informational only. Implemented as R1.5, R1.6.",Recommend flagging cost/reimbursement implications to the SE Incentive Policy owner.
OQ-5 / OQ-14 / OQ-18 / OQ-20 (SELF-RESOLVED),"Model 3's alpha is derived per Node from average historical travel time. SELF-RESOLUTION RATIONALE for OQ-20 (direction + bounds): higher historical travel time at a node -> LOWER alpha (weight efficiency more), because R1.2's 180-min travel floor is structurally more likely to bind in high-travel nodes — in those nodes, minimizing wasted travel directly protects the SE's remaining visit-time budget (R1.3), so efficiency has outsized practical value there. In low-travel nodes, the floor is easy to satisfy regardless, so leaning toward priority-capture costs little. Bounds Alpha_Min=0.4 / Alpha_Max=0.8 were chosen to keep Model 3 meaningfully distinct from both Model 1 (pure priority, effectively alpha=1) and Model 2 (pure efficiency, effectively alpha=0) at every node, rather than letting alpha drift to an extreme that makes 'Balanced' redundant with one of the other two options. Global_Default_Alpha=0.6 (slightly priority-leaning) applies where a node lacks sufficient history.",Direction and bounds can be revisited after a few weeks of live data if Model 3's real-world behavior doesn't match field expectations in high- or low-travel nodes — but this does not block build.
OQ-6,At least 3 algorithm-generated plans (Models 1-3) are produced and shown together; the selected plan syncs onward to downstream systems. Implemented as R5.1.,None.
OQ-7,"The SE selects the final plan, not the ABM. Implemented as R5.3, GR-R8.",None.
OQ-8,Routes are closed — they return to the starting point. Implemented as R3.3.,None.
OQ-9,"Model 4 (Self-Override) is in scope for v1, as an SE self-override. Implemented as R4.4.",None.
OQ-10 / OQ-16,"The Routing Agent reads cumulative monthly KM from an existing source — attendance_attendance.google_distance, summed monthly per SE. This is a good fit for google_distance's confirmed shift-total grain (OQ-19), even though that same grain rules it out for per-leg routing.",None.
OQ-15,"No selection cutoff — SE selects whenever ready, but only after punching in. Implemented as R5.3 (updated), R5.4 (fallback removed as not applicable).",UX nicety only: consider an in-app reminder if a plan stays unselected late in the day.
