"DC Card (Preface) — ""Dehaat Center Ko Jaano""",,,,
"Confirmed against SE_DC_Data_Normalization_Agent_Prompt (v3) — a second, complementary framework for the Pitching Agent, reusing most of the same 8 sources. 5 of 7 sub-points are now fully ready. Crop Type/Style remains a genuine gap — a 'Product Cohort' internal tool was investigated but runs product-first (product→crop→DC), not DC-first, so it doesn't resolve this. That same investigation did surface a real, separate capability — Focus Product Campaign Targeting — see the row below and the dedicated tab. Shown when the SE opens a DC's card, BEFORE any pitch — after this card, the SE moves into the Pitch (Ask/Tell/Wish) using the matching Visit Purpose script.",,,,
Section,Field,What SE Sees,Data Source,Status
1. कौन (Who),Business Area Strength,इस DC की सबसे मज़बूत sub-category (जैसे Herbicide/Fungicide/Cereal Seeds/Bulk Fertilizer) — पिछले 12 महीनों की नेट वैल्यू के हिसाब से टॉप वाली।,"Source 3h — confirmed query, ROW_NUMBER() per DC ranked by 12-month net_value (tie-break: sub_category_name). Live-tested: 10,206 DCs, one row each.",✅ Ready — query confirmed live
1. कौन (Who),Turnover-wise Standing,"DC का टर्नओवर — YTD और पिछले साल का परचेज़, या Club Scheme का Qualifying_Turnover (उन कैटेगरी को छोड़कर जो टर्नओवर में नहीं गिनी जातीं)।","Source 3d/3g — S6 Last Year Purchase, S7 YTD Purchase, or Qualifying_Turnover (Source 3g)",✅ Ready
1. कौन (Who),Repayment Cycle,"औसतन कितने दिनों में पेमेंट करता है (Avg Repayment Days), Paid-Within-Due-Days पैटर्न, और अभी कोई लाइव प्रॉमिस (promise_date/promise_amount) पेंडिंग है या नहीं।","Source 2 (DC_RAnk.csv — Avg Repayment Days, Paid Within Due Days) + Source 3d (promise_date/promise_amount, live commitment)",✅ Ready
1. कौन (Who),Scheme Standing,"DC किस क्लब टियर में है (Director's/Diamond/Platinum/Gold/Silver/Bronze/Copper), Qualifying Turnover, Outstanding क्लियर है या नहीं (एलिजिबिलिटी की शर्त), Zone (East/West — रिवॉर्ड बदलता है), TOD%।","Source 3g — DeHaat Club Scheme 2026-27 (signed policy), real 7-tier structure now confirmed",✅ Ready
2. DC कहां खड़ा है (Where DC Stands),Crop Type / Crop Style,"इस DC के किसान कौन सी फसल उगाते हैं, किस स्टाइल की खेती करते हैं — यह DC-first सवाल है (इस DC को देकर फसल पता करनी है)।","कोई कन्फर्म सोर्स नहीं। एक 'Product Cohort' internal tool (saas-platform-service.api.dehat.net/sps/v1/fp) की जांच की गई, लेकिन वो product-first है (प्रोडक्ट देकर सीज़नैलिटी + टारगेट DC कोहॉर्ट निकालता है) — उल्टी दिशा में काम करता है, इसलिए ये सवाल हल नहीं करता।","❌ Still a genuine gap for this DC-first question — no source, no realistic proxy either. Flag to business directly."
2. DC कहां खड़ा है (Where DC Stands),"Focus Product Campaign Targeting (नई, अलग क्षमता)","'DC कहां खड़ा है' से अलग सवाल — किसी एक Focus Product को देखते हुए, किन DCs को वो प्रोडक्ट पुश करना चाहिए और कब। यह पिछली row की जांच में मिली एक असली, अलग, उपयोगी क्षमता है — DC प्रोफाइल का हिस्सा नहीं, पर Pitching Agent के लिए काम की है।","'Product Cohort' API — कन्फर्म फ्लो: (a) प्रोडक्ट का हिस्टोरिकल परचेज़ पैटर्न, (b) LLM-inferred crop-seasonality (buildup/peak/closure हफ्ते), (c) उस प्रोडक्ट के लिए टारगेट DC कोहॉर्ट। देखें 'Focus Product Targeting' टैब पूरी डिटेल के लिए।","🟡 Real capability confirmed to exist — access-blocked (no auth handling, domain unreachable); Steps 2B/3 response schema still unconfirmed (empty in Postman collection)"
2. DC कहां खड़ा है (Where DC Stands),What's Upcoming to Sell,"आगे किस चीज़ की डिमांड/बिक्री आने वाली है — असली crop-calendar नहीं, बल्कि पिछले साल के इसी टाइम के पैटर्न + Block में अभी क्या चल रहा है, इन दोनों से एक अनुमान।","Proxy: S6 Last Year DC Purchase (same period) combined with S1 Same-Block Purchase — a seasonal-prediction substitute, not a true crop-calendar answer.","🟡 Proxy only — workable substitute, not a real answer"
3. प्राइवेट लेबल (Private Label),Recommended Product & Brief,"कौन सा विशिष्ट PL प्रोडक्ट इस विज़िट में बेचना है, और क्यों — Block पैटर्न + इस DC के PL टारगेट गैप के आधार पर एक संक्षिप्त सुझाव।","S1 Same-Block Purchase (product-wise, with Category & Segment) + S8 YTD PL Sale",✅ Ready
,,,,
"Sample Filled Card — महेश जी, महेश ट्रेडिंग कंपनी (same DC as the Sale pitch example)",,,,
1. कौन,Business Area Strength: पिछले 12 महीनों में टॉप sub-category — Fungicide (नेट वैल्यू ₹2.1L) — इसीलिए दुरंद प्लस (एक फंगिसाइड) एक स्वाभाविक सुझाव है,,,
1. कौन,टर्नओवर: Qualifying Turnover ₹18.5L (उन एक्सक्लूडेड कैटेगरी को छोड़कर) | YTD Purchase ₹3.2L / Target ₹5L | Last Year Purchase ₹9.1L,,,
1. कौन,"Repayment: Avg Repayment Days 22, Paid Within Due Days = हां | अभी कोई overdue नहीं, कोई pending promise नहीं",,,
1. कौन,"Scheme: Silver Club (₹16L threshold पार, ₹24L Gold से नीचे) | TOD% 1.25% | Zone: West | Outstanding_Cleared: हां — एलिजिबल",,,
2. DC कहां खड़ा है,Crop Type/Style: ❌ डेटा उपलब्ध नहीं — SE अपने खुद के फील्ड नॉलेज पर निर्भर रहे,,,
